HOSPITAL OR CLNIC NAME ,PROVIDER TYPE,EMIRATE,ADDRESS,TELEPHONE,GOLD NETWORK,SILVER PREMIUM NETWORK,SILVER CLASSIC NETWORK,GREEN NETWORK,EMERALD NETWORK,PEARL NETWORK,DENTAL COVER,SPECIAL REMARKS
NMC ROYAL WOMENS -ABU DHABI / MF3186,HOSPITAL,ABU DHABI,ABU DHABI,02-5082000,Covered,Covered,,,,,,
MEDICLINIC HOSPITALS L.L.C. (AIRPORT ROAD HOSPITAL) / MF2270,HOSPITAL,ABU DHABI,"AIRPORT ROAD, SHK. MOHD BIN BUTTI BLDG.",02-4944813,Covered,Covered,Covered,Covered,Covered,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
MAGRABI SPECIALIZED HOSPITAL- BRANCH,HOSPITAL,ABU DHABI,"AL KHALEEJ AL ARABI STREET,  AL MUSHRIF",02-4446565,Covered,Covered,Covered,,,,,
IMPERIAL COLLEGE LONDON DIABETES CENTRE,HOSPITAL,ABU DHABI,"AL KHALEEJ AL ARABI STREET, EMBASIES AREA",02-4040800,Covered,,,,,,,
GULF DIAGNOSTIC CENTER HOSPITAL,HOSPITAL,ABU DHABI,"AL KHALEEJ AL ARABI STREET, MUSASFA ROAD , AFTER SHK MOHAMMED PALACE",02-4177222,Covered,Covered,,,,,,
SEHA EMIRATES HOSPITAL,HOSPITAL,ABU DHABI,AL LEDEEM STREET,02-4438999,Covered,Covered,Covered,Covered,Covered,Covered,,
CLEVELAND CLINIC ABU DHABI LLC,HOSPITAL,ABU DHABI,"AL MAQAM TOWER, AL FALAH STREET, ABU DHABI GLOBAL MARKET SQUARE, AL MARYAH ISLAND",02-6590200,Covered,,,,,,, 
MAGRABI EYE & EAR CENTER,HOSPITAL,ABU DHABI,"BANIYAS STREET, AL NAKHEEL TOWER",02-6345000,Covered,Covered,Covered,Covered,,,,
***LIFECARE HOSPITAL,HOSPITAL,ABU DHABI,"BANIYAS STREET, WATHBA, GATE NO. 6 AL RAHA VILLAGE",02-5856333,Covered,Covered,Covered,Covered,Covered,Covered,,Silk Road OP Access for Non Abu Dhabi Al Futtaim card holders are covered at this facility.
DANAT AL EMARAT HOSPITAL FOR WOMEN & CHILDREN LLC-ABU DHABI-MF2278,HOSPITAL,ABU DHABI,"BEN AL JESREEN STREET, ABU DHABI GATE",02-6149999,Covered,Covered,,,,,,
HEALTH SHIELD MEDICAL CENTER L.L.C. (formerly known as EMIRATES FRENCH HOSPITAL),HOSPITAL,ABU DHABI,"CORNICHE ROAD, CORNICHE",02-6265722,Covered,Covered,Covered,,,,,
NMC SPECIALTY HOSPITAL,HOSPITAL,ABU DHABI,"ELECTRA STREET, AL KAMAL TOWERS",02-6332255,Covered,Covered,Covered,Covered,Covered,,,
***LLH HOSPITAL L.L.C./MF1954 (FORM LIFELINE HOSPITAL),HOSPITAL,ABU DHABI,"ELECTRA STREET, AL MARWA BUILDING",02-6335522,Covered,Covered,Covered,Covered,Covered,Covered,,Silk Road OP Access for Non Abu Dhabi Al Futtaim card holders are covered at this facility.
AHALIA HOSPITAL,HOSPITAL,ABU DHABI,"HAMDAN STREET, OPPOSITE BANK OF BARODA.",02-6262666,Covered,Covered,Covered,Covered,Covered,,Covered,
MEDICLINIC HOSPITALS L.L.C. (AL NOOR HOSPITAL),HOSPITAL,ABU DHABI,"KHALIFA STREET, KHALIFA STREET",02-6139299,Covered,Covered,Covered,Covered,Covered,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
AL AHALIA HOSPITAL LLC - MUSAFFA BRANCH / MF3107,HOSPITAL,ABU DHABI,MUSSAFAH,02-8119119,Covered,Covered,Covered,Covered,Covered,,Covered,
